"name1","name2","coordL","coordB","spectral_type","vis_mag","vmc","abs_mag","amc","prllx","error","distance"
"Eta Cassiopeiae","Achird",122.6,-5.1,"G0V+K7V",3.46,,4.59,,167.99,0.62,19
"Eta Ceti","Dheneb",137.2,-72.6,"K2III",3.46,,0.67,,27.73,0.71,118
"Chi Carinae","",266.7,-12.3,"B3IV",3.46,,-1.910,,8.43,0.52,390
"Delta Bootis","",53.1,58.4,"G8III",3.46,,0.690,,27.94,0.61,117
"Gamma Ceti","Kaffaljidhma",168.9,-49.4,"A3V+F3V+K5V",3.47,,1.47,,39.78,0.950,82
"Eta Leonis","",219.5,50.8,"A0Ib",3.48,,-5.6,,1.53,0.77,2100
"Eta Herculis","",62.3,40.9,"G8III",3.48,,0.8,,29.11,0.52,112
"Tau Ceti","",173.1,-73.4,"G8V",3.49,,5.68,,274.17,0.8,12
"Sigma Canis Majoris","",239.2,-10.3,"K7Ib",3.49,,-4.37,,2.68,0.59,1200
"Nu Ursae Majoris","Alula Borealis",190.7,69.1,"K3II",3.49,,-2.07,,7.74,0.79,420
"Beta Bootis","Nekkar",67.6,60.0,"G8III",3.49,,-0.64,,14.91,0.570,220
"Alpha Telescopii","",348.7,-15.20,"B3IV",3.49,,-0.93,,13.08,0.71,250
"Epsilon Gruis","",338.3,-56.5,"A3V",3.49,,0.49,,25.16,0.68,130
"Kappa Canis Majoris","",242.4,-14.5,"B1.5IV",3.5,,-3.42,,4.13,0.5,790
"Delta Geminorum","Wasat",196.0,15.9,"F2IV+K3V",3.5,,2.22,,55.45,0.85,59
"Iota Cephei","",111.1,6.2,"K0III",3.5,,0.76,,28.27,0.52,115
"Gamma Sagittae","",58.0,-5.2,"K5III",3.510,,-1.11,,11.9,0.71,270
"Mu Pegasi","Sadalbari",90.7,-30.6,"G8III",3.510,,0.74,,27.95,0.77,117
"Delta Eridani","Rana",198.1,-46.0,"K0IV",3.52,,3.74,,110.58,0.88,29
"Omicron Leonis","Subra",224.6,42.1,"A9V+F6V",3.52,,0.43,,24.12,0.97,135
"Phi Velorum","Tseen Ke",279.4,0.1,"B5Ib",3.52,,-5.34,,1.69,0.5,1900
"Xi² Sagittarii","",14.60,-10.8,"K0II",3.52,,-1.77,,8.76,0.99,370
"Theta Pegasi","Baham",67.4,-38.7,"A2V",3.52,,1.16,,33.77,0.85,97
"Epsilon Tauri","Ain",177.6,-19.90,"K0III",3.530,,0.15,,21.04,0.820,155
"Beta Cancri","Tarf",214.3,23.1,"K4III",3.530,,-1.24,,11.23,0.97,290
"Xi Hydrae","",284.1,28.1,"G8III",3.54,,0.55,,25.23,0.830,130
"Mu Serpentis","",4.6,37.3,"A0V",3.54,,0.14,,20.94,0.820,155
"Xi Serpentis","",10.60,8.70,"F0III",3.54,,0.99,,30.93,1.03,105
